0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:41 +0530] "GET /project1frontend/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:41 +0530] "GET /project1frontend/login?logout HTTP/1.1" 200 4663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:41 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:41 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:41 +0530] "GET /project1frontend/resources/css/login.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:41 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:52 +0530] "GET /project1frontend/all/registrationform HTTP/1.1" 200 9100
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:52 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:52 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:52 +0530] "GET /project1frontend/resources/css/registration.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:52 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:55 +0530] "GET /project1frontend/login HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:55 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:55 +0530] "GET /project1frontend/resources/css/login.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:55 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:15:55 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "POST /project1frontend/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/home HTTP/1.1" 200 7347
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:31:48 +0530] "GET /project1frontend/resources/images/java2.jpg HTTP/1.1" 200 33331
